-----------epoch0-----------
loss:0.17190138 acc:0.4482758620689655
loss:0.09303938 acc:0.6818181818181818
loss:0.10802795 acc:0.46153846153846156
--------------------val_loss:0.0953493 val_acc:0.5051546391752577
loss:0.10227275 acc:0.52
loss:0.09450611 acc:0.55
loss:0.1398863 acc:0.3181818181818182
loss:0.06806812 acc:0.7142857142857143
loss:0.10241152 acc:0.47619047619047616
loss:0.10863414 acc:0.5416666666666666
loss:0.10174779 acc:0.5185185185185185
loss:0.07576231 acc:0.6666666666666666
loss:0.11120696 acc:0.5714285714285714
loss:0.12939079 acc:0.5357142857142857
--------------------val_loss:0.09329715 val_acc:0.5617977528089888
loss:0.11258946 acc:0.45454545454545453
loss:0.09636058 acc:0.4583333333333333
loss:0.10860212 acc:0.48
loss:0.08554272 acc:0.5416666666666666
loss:0.08855764 acc:0.5454545454545454
loss:0.094125204 acc:0.625
loss:0.15442875 acc:0.44
loss:0.122389354 acc:0.56
loss:0.1332362 acc:0.4782608695652174
loss:0.08490415 acc:0.625
--------------------val_loss:0.09526719 val_acc:0.5434782608695652
loss:0.09347191 acc:0.52
loss:0.112810194 acc:0.4166666666666667
loss:0.10146718 acc:0.5
loss:0.10095905 acc:0.6363636363636364
loss:0.12830648 acc:0.44
loss:0.07656735 acc:0.6190476190476191
loss:0.15646644 acc:0.4230769230769231
loss:0.14859542 acc:0.5185185185185185
loss:0.13821684 acc:0.34615384615384615
loss:0.09310186 acc:0.6363636363636364
--------------------val_loss:0.08939085 val_acc:0.550561797752809
loss:0.10961871 acc:0.4827586206896552
loss:0.09227435 acc:0.4782608695652174
loss:0.19266352 acc:0.37037037037037035
loss:0.09774576 acc:0.5217391304347826
loss:0.11206796 acc:0.64
loss:0.12976024 acc:0.6
loss:0.10706439 acc:0.5217391304347826
loss:0.06978099 acc:0.7142857142857143
loss:0.11289815 acc:0.48148148148148145
loss:0.08177531 acc:0.5909090909090909
--------------------val_loss:0.09377936 val_acc:0.5434782608695652
loss:0.0892265 acc:0.47619047619047616
loss:0.102635 acc:0.5454545454545454
loss:0.10504992 acc:0.5555555555555556
loss:0.10680823 acc:0.5384615384615384
loss:0.10094074 acc:0.46153846153846156
loss:0.093503304 acc:0.45
loss:0.101169586 acc:0.5833333333333334
loss:0.10109885 acc:0.5
loss:0.06958879 acc:0.5714285714285714
loss:0.15321764 acc:0.375
--------------------val_loss:0.087082624 val_acc:0.5652173913043478
loss:0.10240831 acc:0.4782608695652174
loss:0.057023436 acc:0.6956521739130435
loss:0.09721001 acc:0.4444444444444444
loss:0.12340611 acc:0.4166666666666667
loss:0.07911451 acc:0.6
loss:0.09159075 acc:0.56
