-----------epoch0-----------
--------------------val_loss:0.391278 val_acc:0.25287356321839083
loss:0.38067454 acc:0.10526315789473684
loss:0.3933472 acc:0.45
loss:0.41979608 acc:0.3333333333333333
loss:0.43280306 acc:0.125
loss:0.39140725 acc:0.28
loss:0.39381737 acc:0.30434782608695654
loss:0.4398508 acc:0.1724137931034483
loss:0.40855584 acc:0.12
loss:0.43547875 acc:0.25925925925925924
loss:0.41017824 acc:0.13333333333333333
--------------------val_loss:0.38463688 val_acc:0.2808988764044944
loss:0.4270417 acc:0.15
loss:0.39915854 acc:0.2
loss:0.43888378 acc:0.2857142857142857
loss:0.39946142 acc:0.3157894736842105
loss:0.41541004 acc:0.3
loss:0.38743797 acc:0.3
loss:0.42009693 acc:0.24
loss:0.37217826 acc:0.21739130434782608
loss:0.3912837 acc:0.19047619047619047
loss:0.38806146 acc:0.08695652173913043
--------------------val_loss:0.39446557 val_acc:0.2823529411764706
loss:0.42328054 acc:0.18181818181818182
loss:0.37299088 acc:0.38095238095238093
loss:0.4046945 acc:0.041666666666666664
loss:0.3833656 acc:0.3
loss:0.38050562 acc:0.13636363636363635
loss:0.37234825 acc:0.34782608695652173
loss:0.3898564 acc:0.22727272727272727
loss:0.42162815 acc:0.28125
loss:0.4409204 acc:0.22727272727272727
